Date,DHIAv,DHIMax,DNIAv,DNIMax,GHIAv,GHIMax,CDHIAv,CDHIMax,CDNIAv,CDNIMax,CGHIAv,CGHIMax,DPMin,DPAv,DPMax,WSMin,WSAv,WSMax,RainMin,RainAv,RainMax,RHMin,RHAv,RHMax,TMin,TAv,TMax,PMin,PAv,PMax,year,month,day,Weekday,Weekend,Festive,Q
2013-02-24,88.04166666666667,374,166.08333333333334,976,199.54166666666666,836,37.75,103,377.2083333333333,983,261.7916666666667,903,-4.0,2.75,7.0,0.4,1.3833333333333335,2.3,1.0390000000000001,1.4113749999999998,2.072,10.41,46.2725,90.39,12.0,21.291666666666668,32.0,940,943.75,950,2013,2,24,0,1,0,10017.0
2013-02-25,65.41666666666667,324,323.75,1004,248.66666666666666,862,35.916666666666664,97,409.5833333333333,1023,274.5,932,-18.0,-8.875,2.0,1.5,4.437500000000001,8.4,0.261,0.5169166666666666,0.917,7.61,20.03541666666667,42.58,10.0,18.166666666666668,26.0,940,944.5833333333334,950,2013,2,25,1,0,0,10372.0
2013-02-26,38.0,104,393.75,1008,271.4583333333333,930,38.0,104,393.75,1008,271.4583333333333,930,-17.0,-12.625,-4.0,0.4,1.9375,4.5,0.429,0.68675,1.051,5.9,17.705000000000002,35.19,7.0,15.916666666666666,27.0,950,950.0,950,2013,2,26,1,0,0,10430.0
2013-02-27,38.291666666666664,101,366.0,1004,267.0,925,36.583333333333336,97,392.2916666666667,1004,270.5416666666667,925,-16.0,-11.166666666666666,-4.0,0.2,3.391666666666666,7.8,0.902,0.9923749999999999,1.206,6.81,20.48125,37.65,10.0,15.5,23.0,950,952.0833333333334,960,2013,2,27,1,0,0,10461.0
2013-02-28,44.5,124,360.4583333333333,943,263.0416666666667,902,44.5,124,360.4583333333333,943,263.0416666666667,902,-9.0,-6.416666666666667,-5.0,0.3,2.170833333333334,5.2,1.2329999999999999,1.4887083333333335,1.626,18.78,32.707499999999996,45.0,6.0,12.333333333333334,21.0,950,957.9166666666666,960,2013,2,28,1,0,0,10634.0
2013-03-01,40.041666666666664,108,402.7916666666667,1020,281.75,959,40.041666666666664,108,402.7916666666667,1020,281.75,959,-15.0,-9.75,-6.0,0.3,1.6624999999999999,3.5,0.377,0.585,1.268,8.11,26.133333333333336,47.6,7.0,13.958333333333334,23.0,960,960.0,960,2013,3,1,1,0,0,10680.0
2013-03-02,40.791666666666664,109,393.5,999,278.75,946,40.791666666666664,109,393.5,999,278.75,946,-11.0,-9.833333333333334,-7.0,1.1,2.075,3.6,0.503,0.5669166666666666,0.6,10.97,23.50166666666667,37.64,8.0,14.166666666666666,23.0,960,960.0,960,2013,3,2,0,1,0,11645.0
2013-03-03,38.083333333333336,101,405.8333333333333,1017,282.6666666666667,957,38.083333333333336,101,405.8333333333333,1017,282.6666666666667,957,-10.0,-7.791666666666667,-4.0,1.2,2.0291666666666663,3.9,0.37,0.5559999999999999,0.588,7.96,24.42583333333333,39.08,7.0,16.875,29.0,950,955.0,960,2013,3,3,0,1,0,11220.0
2013-03-04,35.916666666666664,93,423.2083333333333,1046,290.0833333333333,977,35.916666666666664,93,423.2083333333333,1046,290.0833333333333,977,-16.0,-11.625,-6.0,1.2,1.8000000000000005,2.6,0.266,0.36399999999999993,0.447,3.43,13.629583333333334,33.2,12.0,23.041666666666668,36.0,950,950.0,950,2013,3,4,1,0,0,11157.0
2013-03-05,89.79166666666667,375,215.75,909,223.83333333333334,826,47.166666666666664,134,365.0833333333333,923,271.375,916,-14.0,-4.916666666666667,0.0,0.2,3.7375000000000007,8.7,0.462,1.1204166666666668,1.5090000000000001,11.67,28.019166666666667,47.75,11.0,17.291666666666668,22.0,950,956.6666666666666,960,2013,3,5,1,0,0,10982.0
